Game Code,Attendance,Duration
5012820130829,35115,169
102063020130829,13136,167
299004720130829,16327,196
305030620130829,40278,229
314071820130829,20992,186
355033120130829,20790,185
433073620130829,40350,219
457064820130829,81572,191
465042820130829,44217,200
587009620130829,33098,266
657027720130829,39058,223
667064620130829,15240,192
711016420130829,30689,185
719007120130829,18142,204
731073220130829,45237,211
769041920130829,20011,178
1320074920130820,26202,183
229041520130830,50151,203
446072520130830,24245,184
493032720130830,53351,200
501002920130830,53793,171
625025420130830,17606,198
665028820130830,26205,218
700066320130830,34790,232
774041620130830,71214,275
8074220130831,73114,193
9071620130831,21398,216
43069420130831,97169,173
66075620130831,71963,180
77074620130831,53310,194
86051820130831,103980,198
129041820130831,112618,190
153072120130831,32095,173
201062620130831,42978,216
207052820130831,41649,212
231039220130831,36321,190
257014720130831,83830,210
290020420130831,7668,183
295049720130831,21975,188
334077220130831,47623,213
365069820130831,80230,212
366049020130831,54204,195
400079620130831,76306,180
402065120130831,35470,195
414038820130831,27148,210
430052120130831,35874,200
454043420130831,58038,187
466011020130831,60562,201
472070320130831,99623,197
483052920130831,57769,219
489019320130831,22521,191
498052220130831,84911,203
503031220130831,67402,217
504031120130831,56800,191
509010720130831,58816,230
523019620130831,44597,193
539068820130831,61202,214
559014020130831,36007,189
574069720130831,86686,212
659030120130831,42175,212
670066420130831,25729,191
671003120130831,69801,186
690051320130831,80795,190
706047320130831,26311,177
709023520130831,83604,191
739006720130831,30922,180
754003720130831,85095,220
786076820130831,56350,192
811046320130831,91185,213
1068025520130830,45759,179
2678003020130830,30451,193
2915005120130830,44989,203
157015620130901,59601,217
519036720130901,55332,189
234054520130902,65500,183
102002820130905,55743,189
229019620130905,37533,197
128023120130906,15823,187
749006720130906,32465,189
9036520130907,90037,196
17043020130907,55085,180
29046520130907,26950,210
30003720130907,83246,195
43073620130907,33162,180
71033120130907,22758,190
86005120130907,39126,215
90009620130907,33260,198
108046620130907,27052,168
140030120130907,43031,214
156071920130907,22875,220
193040420130907,44237,180
202036720130907,53647,170
204053920130907,92863,182
235041520130907,76968,206
261049820130907,23600,193
277052820130907,38179,215
288069020130907,27328,214
295081120130907,22030,230
305055920130907,50165,184
317000520130907,9653,220
346036620130907,16372,188
380040020130907,15624,195
414033420130907,54846,199
419045720130907,48000,213
428047220130907,16418,190
440066320130907,10107,200
469012920130907,18210,174
473070420130907,34907,199
483077420130907,24163,218
485058720130907,49111,201
497051920130907,24511,190
513041820130907,115109,210
521070620130907,40977,220
523039220130907,38377,188
529074620130907,58502,191
550010720130907,43594,220
553067020130907,20136,178
575049020130907,50554,220
624069720130907,86800,204
625003120130907,47358,179
626051820130907,104984,191
630067420130907,50424,180
632071620130907,20021,180
646071820130907,19414,210
647014720130907,81428,193
648025720130907,92746,198
650032820130907,41920,191
651041620130907,70401,205
654043320130907,60815,174
655069820130907,41170,199
664046320130907,90466,192
669031220130907,64201,180
671032720130907,53073,207
676070020130907,54086,228
688050920130907,38033,205
692079620130907,77785,194
693025420130907,14952,173
695006620130907,33293,197
703007720130907,63197,207
709043420130907,56785,203
725004720130907,15106,191
726030620130907,47013,203
731072120130907,32716,206
754065720130907,77823,186
758073220130907,45053,186
768052220130907,84692,219
769074220130907,61335,181
772069420130907,86783,193
1004015720130900,35168,205
1092038820130900,26317,167
698070020130912,58702,219
716003020130912,26012,239
718036620130912,22035,220
721006620130913,36069,178
5041820130914,107120,199
8069720130914,87596,215
47049720130914,14747,234
