#Date/Time of Update: 2018-02-27 6:20:29 AM,#Conference Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
,AFC,50,NE,New England,Patriots,1,3,141,90,63.8,47.0,1152,1136,8.2,7.8,378.7,8,5.7,0,0.0,50,19,3,4,16,108.2,68,22.7,260,3.8,86.7,4,26,15,22.1,2,0,0,90,1152,12.8,384.0,8,50,59,19,3,0,145,205,60,11,72,21,1,0,8,8.0,8,14,66,93,0,0,2,2,1,0,0,0,0,0,6,106,17.7,27,0,3,0,0,0,5,52,10.4,20,0,1,0,9,0,0,3,5,60.0,0,0,0.0,1,2,50.0,1,1,100.0,1,1,100.0,0,1,0.0,45,0,11,12,91.7,20,0.0,18,1157,0,64.3,8,10,222,22.2,0,0,0,8,331,328,57,41.4,41.0,0,0,1,5,62.5,1,12.5,5,1,3,3.0,0,0,0,0,0,0,81,59,15,7,19,39,48.7,2,3,66.7,6,52,212,1392,6.6,12,2,1,0,0,0,0.667,92,75,17
,AFC,66,JAX,Jacksonville,Jaguars,2,3,85,49,57.6,28.3,594,562,7.0,6.2,187.3,3,3.5,0,0.0,45,11,2,5,32,91.0,100,33.3,404,4.0,134.7,5,20,22,22.0,1,0,2,49,594,12.1,198.0,3,45,34,11,2,0,139,175,36,7,86,22,3,0,2,0.7,2,16,81,62,0,0,5,0,3,4,2,-35,6,1,5,88,17.6,25,0,3,0,0,0,0,0,0.0,0,0,0,0,7,0,0,4,4,100.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,100.0,1,1,100.0,54,0,9,9,100.0,21,0.0,16,1003,0,62.7,9,7,148,21.1,0,0,0,17,698,643,62,41.1,37.8,0,0,3,10,58.8,0,0.0,7,6,55,9.2,0,0,0,0,0,0,58,34,22,2,15,40,37.5,2,3,66.7,13,162,190,966,5.1,9,2,1,0,0,0,0.667,75,69,6
,AFC,67,TEN,Tennessee,Titans,3,2,68,41,60.3,34.0,459,390,6.8,4.9,195.0,4,5.9,1,1.5,36,6,0,11,69,93.9,47,23.5,267,5.7,133.5,1,35,11,23.4,2,0,1,41,459,11.2,229.5,4,36,23,6,0,0,97,133,36,4,8,12,0,0,0,0.0,0,6,45,22,0,0,2,1,0,0,0,0,0,0,7,138,19.7,25,0,4,0,0,0,4,21,5.2,23,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,49,0,3,3,100.0,6,0.0,7,457,0,65.3,2,5,114,22.8,0,0,0,9,411,376,62,45.7,41.8,0,0,0,4,44.4,0,0.0,4,5,35,7.0,2,0,2,0,0,0,37,23,11,3,13,29,44.8,2,3,66.7,17,107,126,659,5.2,5,1,1,0,0,0,0.500,36,56,-20
,AFC,48,BUF,Buffalo,Bills,4,1,40,18,45.0,40.0,148,133,3.7,3.2,133.0,0,0.0,2,5.0,16,1,0,2,15,34.2,32,32.0,130,4.1,130.0,0,25,8,25.0,1,0,1,18,148,8.2,148.0,0,16,9,1,0,0,40,59,19,2,12,8,0,0,0,0.0,0,1,22,-4,0,0,1,0,1,0,0,0,0,0,1,10,10.0,10,0,0,0,0,0,4,30,7.5,18,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,31,0,0,0,0.0,3,0.0,2,130,0,65.0,2,0,0,0.0,0,0,0,6,270,270,55,45.0,45.0,0,0,1,3,50.0,1,16.7,3,0,0,0.0,0,0,0,0,0,0,20,9,8,3,7,18,38.9,1,1,100.0,5,52,74,286,3.9,0,0,1,0,0,0,0.000,3,10,-7
,AFC,59,PIT,Pittsburgh,Steelers,5,1,58,37,63.8,58.0,469,410,8.1,6.8,410.0,5,8.6,1,1.7,43,7,2,2,59,110.5,18,18.0,75,4.2,75.0,0,21,3,16.7,2,0,0,37,469,12.7,469.0,5,43,23,7,2,0,40,58,18,0,0,0,0,0,0,0.0,0,5,17,1,0,0,1,1,0,0,0,0,0,0,4,104,26.0,34,0,4,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,6,6,100.0,6,0.0,6,362,0,60.3,3,3,47,15.7,0,0,0,2,79,79,40,39.5,39.5,0,0,1,0,0.0,1,50.0,0,0,0,0.0,0,0,0,0,0,0,28,23,3,2,7,16,43.8,4,6,66.7,3,20,78,585,7.5,5,0,1,0,0,0,0.000,42,45,-3
,AFC,73,KC,Kansas City,Chiefs,6,1,33,24,72.7,33.0,264,256,8.0,6.9,256.0,2,6.1,0,0.0,45,3,1,4,8,116.2,16,16.0,69,4.3,69.0,1,16,4,25.0,0,0,0,24,264,11.0,264.0,2,45,14,3,1,0,43,61,18,3,17,5,1,0,28,28.0,28,3,22,42,0,0,0,0,1,0,1,0,1,0,4,87,21.8,29,0,3,0,0,0,2,8,4.0,8,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,248,0,62.0,1,3,55,18.3,0,0,0,5,250,232,54,50.0,46.4,0,0,0,0,0.0,1,20.0,1,3,18,6.0,0,0,0,0,0,0,20,14,4,2,4,11,36.4,0,1,0.0,6,48,53,325,6.1,3,0,1,0,0,0,0.000,21,22,-1
,NFC,54,PHI,Philadelphia,Eagles,1,3,107,78,72.9,35.7,972,958,9.1,8.8,319.3,7,6.5,1,0.9,55,12,4,2,14,118.6,89,29.7,370,4.2,123.3,3,36,21,23.6,4,0,2,78,972,12.5,324.0,7,55,50,12,4,0,124,163,39,5,28,11,2,1,0,0.0,0,17,70,46,0,0,3,2,2,1,2,-4,3,0,6,146,24.3,27,0,6,0,0,0,2,10,5.0,10,0,0,0,4,0,0,7,7,100.0,0,0,0.0,2,2,100.0,2,2,100.0,2,2,100.0,1,1,100.0,53,0,7,9,77.8,28,0.0,18,1134,0,63.0,13,5,76,15.2,0,0,0,7,294,294,54,42.0,42.0,0,0,0,5,71.4,1,14.3,6,0,0,0.0,2,0,2,0,0,0,74,50,21,3,26,42,61.9,3,3,100.0,14,114,197,1325,6.7,10,3,0,0,0,0,1.000,94,50,44
,NFC,63,MIN,Minnesota,Vikings,2,2,88,53,60.2,44.0,589,570,6.7,6.3,285.0,2,2.3,3,3.4,61,8,1,3,19,73.5,47,23.5,165,3.5,82.5,2,14,11,23.4,0,0,0,53,589,11.1,294.5,2,61,29,8,1,0,89,115,26,3,22,9,2,0,18,9.0,18,10,38,49,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,19,19.0,19,0,0,0,5,0,0,3,4,75.0,0,0,0.0,1,1,100.0,0,0,0.0,1,2,50.0,1,1,100.0,53,0,3,3,100.0,12,0.0,8,524,0,65.5,6,2,50,25.0,0,0,0,7,272,261,53,38.9,37.3,0,0,0,2,28.6,2,28.6,3,2,11,5.5,1,0,0,0,1,0,46,29,11,6,16,30,53.3,0,2,0.0,6,49,138,735,5.3,4,1,1,0,0,0,0.500,36,62,-26
,NFC,68,ATL,Atlanta,Falcons,3,2,66,43,65.2,33.0,428,393,6.5,5.5,196.5,2,3.0,0,0.0,52,5,1,6,35,93.5,59,29.5,210,3.6,105.0,1,23,13,22.0,2,0,0,43,428,10.0,214.0,2,52,24,5,1,0,94,113,19,4,21,12,0,0,0,0.0,0,10,49,40,0,0,0,0,2,0,3,0,3,0,5,63,12.6,23,0,1,0,0,0,1,4,4.0,4,0,0,0,5,0,0,5,5,100.0,0,0,0.0,2,2,100.0,1,1,100.0,0,0,0.0,2,2,100.0,54,0,3,3,100.0,18,0.0,10,624,0,62.4,2,8,164,20.5,0,0,0,11,448,427,60,40.7,38.8,0,0,2,3,27.3,0,0.0,3,5,21,4.2,0,0,0,0,0,0,39,24,13,2,9,28,32.1,2,3,66.7,9,126,131,603,4.6,3,1,1,0,0,0,0.500,36,28,8
,NFC,70,NO,New Orleans,Saints,4,2,74,48,64.9,37.0,670,647,9.0,8.4,323.5,5,6.8,3,4.0,80,7,2,3,23,99.5,46,23.0,121,2.6,60.5,2,11,8,17.4,0,0,0,48,670,14.0,335.0,5,80,35,7,2,0,84,136,52,6,53,11,1,0,12,12.0,12,12,47,59,0,0,2,0,1,2,0,0,2,0,2,50,25.0,30,0,2,0,0,0,3,18,6.0,11,0,0,0,3,0,0,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,1,2,50.0,57,0,7,7,100.0,13,0.0,11,715,0,65.0,11,0,0,0.0,0,0,0,8,375,345,57,46.9,43.1,0,0,0,2,25.0,1,12.5,4,3,30,10.0,0,0,0,0,0,0,44,35,8,1,4,17,23.5,1,2,50.0,14,193,123,768,6.2,7,1,1,0,0,0,0.500,55,55,0
