,#Date/Time of Update: 2018-04-02 9:56:10 PM,Season,#Division Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
0,,2015-2016-Playoff,AFC/AFC East,50,NE,New England,Patriots,1,2,97,55,56.7,48.5,612,6.3,594,5.9,297.0,3,3.1,2,2.1,82,7,2,4,18,77.3,31,15.5,82,2.6,41.0,2,22,6,19.4,0,0,0,55,612,11.1,306.0,3,82,30,5,2,0,88,135,47,4,34,13,0,0,0,0.0,0,11,60,54,0,0,1,0,1,1,2,0,3,0,2,45,22.5,45,0,1,0,0,0,5,70,14.0,38,0,2,0,4,0,0,4,4,100.0,0,0,0.0,0,0,0.0,2,2,100.0,2,2,100.0,0,0,0.0,86,0,3,4,75.0,15,0.0,10,666,0,66.6,7,3,90,30.0,0,0,0,8,368,320,98,46.0,40.0,0,0,1,1,12.5,1,12.5,1,5,48,9.6,40,30,6,4,8,27,29.6,2,4,50.0,13,77,132,676,5.1,5,1,1,0,0,0,0.0,45,40,5
1,,2015-2016-Playoff,AFC/AFC North,57,CIN,Cincinnati,Bengals,1,1,41,23,56.1,41.0,216,5.3,184,4.2,184.0,1,2.4,1,2.4,25,2,0,3,32,68.8,24,24.0,96,4.0,96.0,1,38,6,25.0,1,0,2,23,216,9.4,216.0,1,25,11,2,0,0,48,68,20,4,38,9,1,0,0,0.0,0,6,29,41,0,0,5,3,1,2,1,11,3,0,2,50,25.0,28,0,2,0,0,0,2,34,17.0,24,0,1,0,3,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,36,0,1,1,100.0,4,0.0,4,262,0,65.5,3,1,16,16.0,0,0,0,6,255,247,51,42.5,41.2,0,0,2,3,50.0,0,0.0,2,2,8,4.0,21,11,6,4,5,15,33.3,1,1,100.0,9,94,68,302,4.4,2,0,1,0,0,0,0.0,16,18,-2
2,,2015-2016-Playoff,AFC/AFC North,59,PIT,Pittsburgh,Steelers,2,2,73,44,60.3,36.5,578,7.9,512,6.4,256.0,1,1.4,1,1.4,118,11,3,7,66,84.2,48,24.0,252,5.2,126.0,1,84,10,20.8,3,2,1,44,578,13.1,289.0,1,118,20,8,3,0,90,123,33,4,39,14,1,0,35,35.0,35,9,57,46,0,0,2,2,4,0,3,-4,3,0,1,16,16.0,16,0,0,0,0,0,5,28,5.6,18,0,0,0,2,0,0,7,7,100.0,0,0,0.0,1,1,100.0,4,4,100.0,2,2,100.0,0,0,0.0,86,0,1,1,100.0,22,0.0,10,658,0,65.8,8,2,50,25.0,0,0,0,10,427,351,99,42.7,35.1,0,0,2,3,30.0,1,10.0,4,3,76,25.3,36,20,10,6,4,25,16.0,1,3,33.3,14,165,128,764,6.0,2,1,1,0,0,0,0.0,34,39,-5
3,,2015-2016-Playoff,AFC/AFC South,64,HOU,Houston,Texans,1,1,34,15,44.1,34.0,136,4.0,117,3.2,117.0,0,0.0,4,11.8,17,0,0,3,19,15.9,25,25.0,114,4.6,114.0,0,49,3,12.0,1,1,0,15,136,9.1,136.0,0,17,10,0,0,0,51,84,33,3,17,6,1,0,0,0.0,0,1,13,22,0,0,2,1,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,71,0,71.0,0,1,106,106.0,0,0,0,5,228,150,53,45.6,30.0,0,0,0,1,20.0,0,0.0,1,4,78,19.5,14,10,3,1,6,14,42.9,0,1,0.0,4,29,62,231,3.7,0,0,1,0,0,0,0.0,0,30,-30
4,,2015-2016-Playoff,AFC/AFC West,72,DEN,Denver,Broncos,1,3,92,51,55.4,30.7,539,5.9,466,4.6,155.3,2,2.2,1,1.1,93,7,0,9,73,75.4,91,30.3,298,3.3,99.3,2,98,12,13.2,3,0,2,51,539,10.6,179.7,2,93,26,7,0,0,137,186,49,14,16,25,3,0,31,10.3,8,25,97,140,0,0,5,2,6,3,4,-6,7,1,2,42,21.0,24,0,1,0,0,0,5,124,24.8,119,0,2,2,6,0,0,10,10,100.0,0,0,0.0,1,1,100.0,4,4,100.0,3,3,100.0,2,2,100.0,137,0,3,3,100.0,33,0.0,17,1102,0,64.8,14,3,61,20.3,0,0,0,19,897,829,165,47.2,43.6,0,0,2,8,42.1,0,0.0,5,10,68,6.8,42,26,12,4,10,46,21.7,0,1,0.0,12,124,192,764,4.0,5,3,0,0,0,0,100.0,67,44,23
5,,2015-2016-Playoff,AFC/AFC West,73,KC,Kansas City,Chiefs,2,2,72,46,63.9,36.0,436,6.1,416,5.5,208.0,2,2.8,1,1.4,74,4,1,4,20,84.0,69,34.5,329,4.8,164.5,2,81,19,27.5,2,1,0,46,436,9.5,218.0,2,74,22,3,1,0,65,100,35,3,19,7,4,0,69,17.2,13,10,46,53,0,0,1,1,2,0,1,0,1,0,4,196,49.0,140,1,4,1,0,0,6,105,17.5,50,0,2,0,1,0,0,5,5,100.0,0,0,0.0,0,0,0.0,3,3,100.0,2,2,100.0,0,0,0.0,83,0,5,5,100.0,20,0.0,11,720,0,65.4,10,1,26,26.0,0,0,0,6,232,210,86,38.7,35.0,0,0,1,4,66.7,0,0.0,4,1,22,22.0,46,22,19,5,16,31,51.6,1,2,50.0,10,92,145,745,5.1,4,1,1,0,0,0,0.0,44,27,17
6,,2015-2016-Playoff,NFC/NFC East,55,WAS,Washington,Redskins,1,1,46,29,63.0,46.0,329,7.2,270,5.2,270.0,1,2.2,0,0.0,38,5,0,6,59,91.7,19,19.0,80,4.2,80.0,1,25,5,26.3,1,0,1,29,329,11.3,329.0,1,38,14,5,0,0,44,70,26,1,5,5,0,0,0,0.0,0,4,22,12,0,1,3,1,1,2,1,-4,3,0,5,96,19.2,26,0,3,0,0,0,1,10,10.0,10,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,25,0,1,2,50.0,4,0.0,4,262,0,65.5,3,1,22,22.0,0,0,0,5,253,224,60,50.6,44.8,0,0,3,3,60.0,0,0.0,0,2,29,14.5,20,14,5,1,5,15,33.3,1,4,25.0,7,55,71,350,4.9,2,0,1,0,0,0,0.0,18,35,-17
7,,2015-2016-Playoff,NFC/NFC North,62,GB,Green Bay,Packers,1,2,80,45,56.2,40.0,471,5.9,456,5.6,228.0,4,5.0,1,1.2,94,4,2,2,15,85.0,54,27.0,276,5.1,138.0,2,91,17,31.5,3,1,1,45,471,10.5,235.5,4,94,23,2,2,0,88,130,42,9,80,15,2,0,0,0.0,0,13,50,100,0,0,1,1,3,0,1,0,1,0,4,99,24.8,57,0,3,0,0,0,3,49,16.3,37,0,1,0,1,0,0,4,4,100.0,0,0,0.0,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,77,0,5,5,100.0,17,0.0,13,825,0,63.5,6,7,133,19.0,0,0,0,7,290,268,92,41.4,38.3,0,0,2,2,28.6,0,0.0,3,2,22,11.0,43,23,17,3,10,26,38.5,2,3,66.7,11,78,136,732,5.4,6,1,1,0,0,1,0.0,55,44,11
8,,2015-2016-Playoff,NFC/NFC North,63,MIN,Minnesota,Vikings,2,1,24,17,70.8,24.0,146,6.1,125,4.6,125.0,0,0.0,0,0.0,24,1,0,3,21,86.5,29,29.0,58,2.0,58.0,0,13,4,13.8,0,0,0,17,146,8.6,146.0,0,24,6,1,0,0,46,56,10,2,13,6,1,0,24,24.0,24,8,22,14,0,0,1,1,0,0,0,0,0,0,3,65,21.7,34,0,2,0,0,0,2,7,3.5,10,0,0,0,0,0,0,3,4,75.0,0,0,0.0,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0.0,47,0,0,0,0.0,9,0.0,4,255,0,63.8,3,1,12,12.0,0,0,0,5,172,162,47,34.4,32.4,0,0,1,1,20.0,0,0.0,1,3,10,3.3,14,6,4,4,3,13,23.1,1,1,100.0,2,46,56,183,3.3,0,0,1,0,0,0,0.0,9,10,-1
9,,2015-2016-Playoff,NFC/NFC South,69,CAR,Carolina,Panthers,1,3,91,53,58.2,30.3,754,8.3,763,7.6,254.3,3,3.3,2,2.2,158,9,4,9,-9,87.0,106,35.3,416,3.9,138.7,6,97,24,22.6,3,1,3,53,754,14.2,251.3,3,158,32,5,4,0,107,179,72,13,92,22,7,2,24,3.4,19,20,72,125,0,0,6,3,5,3,4,-2,7,0,7,120,17.1,68,0,2,0,0,0,5,38,7.6,35,0,1,0,5,0,0,4,5,80.0,0,0,0.0,1,1,100.0,1,1,100.0,2,3,66.7,0,0,0.0,132,0,10,10,100.0,22,0.0,18,1178,0,65.4,11,7,184,26.3,0,0,0,15,615,544,151,41.0,36.3,0,0,2,3,20.0,1,6.7,8,4,71,17.8,59,32,24,3,19,45,42.2,0,1,0.0,18,142,206,987,4.8,9,2,1,0,0,0,0.0,90,63,27
