,Unnamed: 0,Season,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
0,0,2014-2015-Regular,52,DAL,Dallas,Cowboys,1,16,473,328,69.3,29.6,4033,3802,8.5,7.6,237.6,37,7.8,9,1.9,708,57,12,30,231,113.5,505,31.6,2394,4.7,149.6,16,464,107,21.2,19,5,7,328,4033,12.3,252.1,37,708,206,42,12,0,718,963,245,28,169,78,14,3,118,8.4,133,66,296,309,1,0,19,14,14,4,11,-44,15,1,31,741,23.9,321,0,24,1,0,0,27,298,11.0,175,0,3,0,13,0,1,25,29,86.2,0,0,0.0,6,6,100.0,6,7,85.7,8,9,88.9,5,7,71.4,638,0,56,56,100.0,131,0.0,93,6031,0,64.8,52,41,910,22.2,0,0,0,47,2162,1932,835,46.0,41.1,1,0,5,17,36.2,2,4.3,15,23,230,10.0,341,206,107,28,96,199,48.2,3,6,50.0,92,771,1008,6196,6.2,54,12,4,0,0,1,0.0,467,350,117
1,1,2014-2015-Regular,72,DEN,Denver,Broncos,2,16,609,399,65.5,38.1,4793,4672,7.9,7.5,292.0,40,6.6,15,2.5,707,67,11,17,121,101.1,438,27.4,1800,4.1,112.5,15,343,98,22.4,13,1,6,399,4793,12.0,299.6,40,707,227,56,11,0,740,936,196,41,269,111,16,2,130,8.1,88,88,377,456,1,1,16,5,9,11,6,-39,17,1,31,772,24.9,386,0,16,4,0,0,40,316,7.9,186,0,3,0,28,0,0,24,29,82.8,2,2,100.0,9,9,100.0,7,8,87.5,5,7,71.4,1,3,33.3,397,0,56,56,100.0,128,0.0,99,6437,0,65.0,64,35,905,25.9,0,0,0,62,2746,2433,829,44.3,39.2,0,0,7,18,29.0,4,6.4,19,31,313,10.1,354,227,98,29,94,213,44.1,6,14,42.9,113,994,1064,6476,6.1,56,12,4,0,0,0,0.0,480,349,131
2,2,2014-2015-Regular,62,GB,Green Bay,Packers,3,16,551,349,63.3,34.4,4468,4281,8.1,7.4,267.6,38,6.9,6,1.1,750,60,15,30,187,107.1,440,27.5,1997,4.5,124.8,14,359,106,24.1,12,2,7,349,4468,12.8,279.2,38,750,223,45,15,0,753,1041,288,44,298,89,18,3,213,11.8,152,95,367,483,1,0,17,6,9,10,8,-46,18,1,26,558,21.5,265,0,17,1,0,0,28,333,11.9,245,2,5,2,15,0,3,27,33,81.8,0,0,0.0,7,7,100.0,11,12,91.7,5,7,71.4,4,7,57.1,565,1,54,56,96.4,135,0.0,98,6288,0,64.2,41,57,1474,25.9,0,0,0,43,1923,1706,685,44.7,39.7,2,0,7,12,27.9,4,9.3,10,21,217,10.3,355,223,106,26,93,206,45.2,4,10,40.0,81,690,1021,6266,6.1,53,12,4,0,0,0,0.0,475,346,129
3,3,2014-2015-Regular,79,SEA,Seattle,Seahawks,4,16,459,287,62.5,28.7,3521,3246,7.7,6.4,202.9,20,4.4,6,1.3,696,55,9,45,275,95.2,524,32.8,2824,5.4,176.5,20,515,146,27.9,17,6,9,287,3521,12.3,220.1,20,696,161,46,9,0,637,903,266,37,234,99,12,2,182,15.2,145,69,342,475,0,1,20,8,12,12,8,-99,20,1,38,822,21.6,415,0,25,2,0,0,36,262,7.3,166,0,4,0,28,0,1,31,37,83.8,0,0,0.0,10,10,100.0,10,10,100.0,9,13,69.2,2,4,50.0,567,0,41,41,100.0,134,0.0,86,5658,0,65.8,46,40,1032,25.8,0,0,0,54,2383,2187,821,44.1,40.5,1,0,7,27,50.0,6,11.1,25,14,196,14.0,333,161,146,26,91,214,42.5,3,12,25.0,124,985,1028,6070,5.9,41,12,4,0,0,0,0.0,396,252,144
4,4,2014-2015-Regular,50,NE,New England,Patriots,5,16,627,392,62.5,39.2,4357,4180,7.0,6.4,261.2,34,5.4,9,1.4,598,49,9,27,177,95.2,439,27.4,1752,4.0,109.5,13,322,100,22.8,8,1,0,392,4357,11.1,272.3,34,598,228,39,8,0,684,1009,325,39,290,84,15,0,184,12.3,111,72,365,444,3,0,7,5,15,2,11,0,13,4,30,739,24.6,388,0,20,2,0,0,38,365,9.6,234,0,5,1,11,0,1,35,38,92.1,1,1,100.0,11,12,91.7,10,11,90.9,12,13,92.3,1,1,100.0,544,0,50,50,100.0,155,0.0,101,6524,0,64.6,53,48,1050,21.9,0,0,0,60,2793,2496,876,46.6,41.6,0,0,9,22,36.7,6,10.0,15,29,297,10.2,360,228,100,32,98,226,43.4,7,14,50.0,111,969,1093,5932,5.4,51,12,4,0,0,0,0.0,461,313,148
5,5,2014-2015-Regular,61,DET,Detroit,Lions,6,16,605,365,60.3,37.8,4296,4041,7.1,6.2,252.6,22,3.6,11,1.8,715,55,12,45,255,86.5,397,24.8,1433,3.6,89.6,11,311,72,18.1,6,1,7,365,4296,11.8,268.5,22,715,211,43,11,0,696,894,198,43,314,113,16,1,302,18.9,173,72,363,627,2,1,18,8,12,10,7,-5,17,1,25,615,24.6,313,0,18,1,0,0,31,283,9.1,188,0,3,0,38,0,2,25,38,65.8,0,0,0.0,10,10,100.0,5,6,83.3,6,14,42.9,4,8,50.0,543,0,32,32,100.0,107,0.0,72,4730,0,65.7,53,19,550,29.0,0,0,0,65,2990,2672,899,46.0,41.1,0,0,9,26,40.0,5,7.7,20,29,318,11.0,314,211,72,31,86,224,38.4,10,20,50.0,109,920,1047,5474,5.2,34,11,5,0,0,0,0.0,319,282,37
6,6,2014-2015-Regular,57,CIN,Cincinnati,Bengals,7,16,501,321,64.1,31.3,3437,3277,6.9,6.3,204.8,19,3.8,15,3.0,618,35,8,22,160,84.2,488,30.5,2166,4.4,135.4,19,507,123,25.2,14,4,5,321,3437,10.7,214.8,19,618,163,27,8,0,664,1073,409,20,125,78,17,1,132,7.8,136,88,347,264,0,1,16,9,6,7,6,3,13,1,44,1219,27.7,552,0,35,3,0,0,39,472,12.1,282,0,8,3,15,0,1,26,33,78.8,0,0,0.0,6,6,100.0,10,12,83.3,10,12,83.3,0,3,0.0,506,0,39,39,100.0,117,0.0,80,5307,0,66.3,37,43,1159,27.0,0,0,0,65,3104,2856,863,47.8,43.9,0,0,14,26,40.0,6,9.2,15,29,248,8.6,310,163,123,24,83,207,40.1,7,13,53.8,88,734,1011,5521,5.5,39,10,5,0,0,0,0.0,359,346,13
7,7,2014-2015-Regular,59,PIT,Pittsburgh,Steelers,8,16,620,411,66.3,38.8,5002,4828,8.1,7.4,301.8,33,5.3,9,1.4,730,57,15,34,174,102.6,424,26.5,1808,4.3,113.0,10,433,100,23.6,11,4,6,411,5002,12.2,312.6,33,730,243,42,15,0,671,970,299,34,205,76,11,4,107,9.7,104,58,319,297,0,0,14,10,11,4,10,-23,14,1,36,779,21.6,364,0,22,1,0,0,32,338,10.6,246,1,4,1,18,0,0,29,32,90.6,0,0,0.0,12,13,92.3,6,6,100.0,10,10,100.0,1,3,33.3,527,0,45,45,100.0,132,0.0,84,5421,0,64.5,32,52,1240,23.8,0,0,0,58,2550,2331,862,44.0,40.2,1,0,9,21,36.2,4,6.9,18,24,219,9.1,375,243,100,32,93,210,44.3,5,10,50.0,90,733,1078,6636,6.2,44,11,5,0,0,0,0.0,428,368,60
8,8,2014-2015-Regular,76,ARI,Arizona,Cardinals,9,16,557,310,55.7,34.8,3875,3688,7.0,6.3,230.5,21,3.8,9,1.6,717,57,11,28,187,83.3,399,24.9,1309,3.3,81.8,6,234,68,17.0,6,0,6,310,3875,12.5,242.2,21,717,184,46,11,0,761,918,157,36,264,98,17,3,172,10.1,81,63,361,433,3,0,13,5,9,8,10,-10,18,1,21,424,20.2,271,0,12,1,0,0,24,304,12.7,255,1,3,2,24,0,0,29,33,87.9,0,0,0.0,5,5,100.0,12,14,85.7,10,11,90.9,2,3,66.7,583,0,27,27,100.0,114,0.0,74,4980,0,67.3,37,37,969,26.2,0,0,0,83,3544,3318,829,42.7,40.0,0,0,8,34,41.0,6,7.2,37,31,226,7.3,296,184,68,44,87,218,39.9,3,4,75.0,86,672,984,4997,5.1,28,11,5,0,0,0,0.0,304,299,5
9,9,2014-2015-Regular,65,IND,Indianapolis,Colts,10,16,669,410,61.3,41.8,5066,4866,7.6,7.0,304.1,42,6.3,14,2.1,721,78,15,31,200,96.9,414,25.9,1647,4.0,102.9,9,270,79,19.1,7,1,8,410,5066,12.4,316.6,42,721,250,63,15,0,681,943,262,41,336,88,12,1,96,8.0,105,76,356,426,0,0,24,15,19,9,12,-59,21,1,38,1065,28.0,467,0,33,3,0,0,44,391,8.9,213,0,3,0,25,0,0,30,31,96.8,0,0,0.0,10,10,100.0,10,10,100.0,7,8,87.5,3,3,100.0,556,0,50,50,100.0,140,0.0,95,6227,0,65.6,69,26,601,23.1,0,0,0,62,2953,2723,901,47.6,43.9,0,0,5,27,43.6,3,4.8,19,34,230,6.8,367,250,79,38,88,218,40.4,6,15,40.0,99,819,1114,6509,5.8,52,11,5,0,0,0,0.0,458,367,91
