Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
5012820130829,8/29/2013,5,128,146,TEAM
102063020130829,8/29/2013,102,630,18,TEAM
299004720130829,8/29/2013,299,47,48,TEAM
305030620130829,8/29/2013,305,306,47,TEAM
314071820130829,8/29/2013,314,718,58,TEAM
355033120130829,8/29/2013,355,331,100,TEAM
433073620130829,8/29/2013,433,736,117,TEAM
457064820130829,8/29/2013,457,648,113,TEAM
465042820130829,8/29/2013,465,428,153,TEAM
587009620130829,8/29/2013,587,96,13,TEAM
657027720130829,8/29/2013,657,277,39,TEAM
667064620130829,8/29/2013,667,646,3,TEAM
711016420130829,8/29/2013,711,164,25,TEAM
719007120130829,8/29/2013,719,71,96,TEAM
731073220130829,8/29/2013,731,732,135,TEAM
769041920130829,8/29/2013,769,419,116,TEAM
1320074920130820,8/29/2013,1320,749,83,TEAM
229041520130830,8/30/2013,229,415,30,TEAM
446072520130830,8/30/2013,446,725,93,TEAM
493032720130830,8/30/2013,493,327,52,TEAM
501002920130830,8/30/2013,501,29,11,TEAM
625025420130830,8/30/2013,625,254,38,TEAM
665028820130830,8/30/2013,665,288,128,TEAM
700066320130830,8/30/2013,700,663,122,TEAM
774041620130830,8/30/2013,774,416,68,TEAM
8074220130831,8/31/2013,8,742,38,NEUTRAL
9071620130831,8/31/2013,9,716,4,TEAM
43069420130831,8/31/2013,43,694,114,TEAM
66075620130831,8/31/2013,66,756,140,TEAM
77074620130831,8/31/2013,77,746,137,TEAM
86051820130831,8/31/2013,86,518,99,TEAM
129041820130831,8/31/2013,129,418,66,TEAM
153072120130831,8/31/2013,153,721,21,TEAM
201062620130831,8/31/2013,201,626,16,TEAM
207052820130831,8/31/2013,207,528,107,TEAM
231039220130831,8/31/2013,231,392,64,TEAM
257014720130831,8/31/2013,257,147,112,TEAM
290020420130831,8/31/2013,290,204,71,TEAM
295049720130831,8/31/2013,295,497,160,TEAM
334077220130831,8/31/2013,334,772,118,NEUTRAL
365069820130831,8/31/2013,365,698,155,NEUTRAL
366049020130831,8/31/2013,366,490,82,TEAM
400079620130831,8/31/2013,400,796,141,TEAM
402065120130831,8/31/2013,402,651,35,TEAM
414038820130831,8/31/2013,414,388,142,TEAM
430052120130831,8/31/2013,430,521,128,NEUTRAL
454043420130831,8/31/2013,454,434,73,TEAM
466011020130831,8/31/2013,466,110,15,TEAM
472070320130831,8/31/2013,472,703,119,TEAM
483052920130831,8/31/2013,483,529,108,TEAM
489019320130831,8/31/2013,489,193,80,TEAM
498052220130831,8/31/2013,498,522,103,TEAM
503031220130831,8/31/2013,503,312,41,TEAM
504031120130831,8/31/2013,504,311,40,TEAM
509010720130831,8/31/2013,509,107,12,TEAM
523019620130831,8/31/2013,523,196,81,TEAM
539068820130831,8/31/2013,539,688,157,NEUTRAL
559014020130831,8/31/2013,559,140,97,TEAM
574069720130831,8/31/2013,574,697,120,TEAM
659030120130831,8/31/2013,659,301,44,TEAM
670066420130831,8/31/2013,670,664,75,TEAM
671003120130831,8/31/2013,671,31,6,TEAM
690051320130831,8/31/2013,690,513,49,TEAM
706047320130831,8/31/2013,706,473,87,TEAM
709023520130831,8/31/2013,709,235,27,TEAM
739006720130831,8/31/2013,739,67,61,TEAM
754003720130831,8/31/2013,754,37,1,TEAM
786076820130831,8/31/2013,786,768,143,TEAM
811046320130831,8/31/2013,811,463,84,TEAM
1068025520130830,8/31/2013,1068,255,37,TEAM
2678003020130830,8/31/2013,2678,30,7,TEAM
2915005120130830,8/31/2013,2915,51,132,TEAM
157015620130901,9/1/2013,157,156,22,NEUTRAL
519036720130901,9/1/2013,519,367,54,TEAM
234054520130902,9/2/2013,234,545,110,TEAM
102002820130905,9/5/2013,102,28,10,TEAM
229019620130905,9/5/2013,229,196,81,TEAM
128023120130906,9/6/2013,128,231,31,TEAM
749006720130906,9/6/2013,749,67,61,TEAM
9036520130907,9/7/2013,9,365,55,TEAM
17043020130907,9/7/2013,17,430,77,TEAM
29046520130907,9/7/2013,29,465,89,TEAM
30003720130907,9/7/2013,30,37,1,TEAM
43073620130907,9/7/2013,43,736,117,TEAM
71033120130907,9/7/2013,71,331,100,TEAM
86005120130907,9/7/2013,86,51,132,TEAM
90009620130907,9/7/2013,90,96,13,TEAM
108046620130907,9/7/2013,108,466,90,TEAM
140030120130907,9/7/2013,140,301,44,TEAM
156071920130907,9/7/2013,156,719,105,TEAM
193040420130907,9/7/2013,193,404,115,TEAM
202036720130907,9/7/2013,202,367,54,TEAM
204053920130907,9/7/2013,204,539,111,TEAM
235041520130907,9/7/2013,235,415,30,TEAM
261049820130907,9/7/2013,261,498,57,TEAM
277052820130907,9/7/2013,277,528,107,TEAM
288069020130907,9/7/2013,288,690,109,TEAM
295081120130907,9/7/2013,295,811,144,TEAM
305055920130907,9/7/2013,305,559,50,TEAM
317000520130907,9/7/2013,317,5,154,TEAM
346036620130907,9/7/2013,346,366,59,TEAM
380040020130907,9/7/2013,380,400,163,TEAM
414033420130907,9/7/2013,414,334,53,TEAM
419045720130907,9/7/2013,419,457,78,TEAM
428047220130907,9/7/2013,428,472,88,TEAM
440066320130907,9/7/2013,440,663,122,TEAM
469012920130907,9/7/2013,469,129,70,TEAM
473070420130907,9/7/2013,473,704,124,TEAM
483077420130907,9/7/2013,483,774,69,TEAM
485058720130907,9/7/2013,485,587,86,TEAM
497051920130907,9/7/2013,497,519,95,TEAM
513041820130907,9/7/2013,513,418,66,TEAM
521070620130907,9/7/2013,521,706,130,TEAM
523039220130907,9/7/2013,523,392,64,TEAM
529074620130907,9/7/2013,529,746,137,TEAM
550010720130907,9/7/2013,550,107,12,TEAM
553067020130907,9/7/2013,553,670,131,TEAM
575049020130907,9/7/2013,575,490,82,TEAM
624069720130907,9/7/2013,624,697,120,TEAM
625003120130907,9/7/2013,625,31,8,TEAM
626051820130907,9/7/2013,626,518,99,TEAM
630067420130907,9/7/2013,630,674,19,TEAM
632071620130907,9/7/2013,632,716,4,TEAM
646071820130907,9/7/2013,646,718,58,TEAM
647014720130907,9/7/2013,647,147,112,TEAM
648025720130907,9/7/2013,648,257,36,TEAM
650032820130907,9/7/2013,650,328,51,TEAM
651041620130907,9/7/2013,651,416,68,TEAM
654043320130907,9/7/2013,654,433,76,TEAM
655069820130907,9/7/2013,655,698,125,TEAM
664046320130907,9/7/2013,664,463,84,TEAM
669031220130907,9/7/2013,669,312,41,TEAM
671032720130907,9/7/2013,671,327,52,TEAM
676070020130907,9/7/2013,676,700,129,TEAM
688050920130907,9/7/2013,688,509,46,TEAM
692079620130907,9/7/2013,692,796,141,TEAM
693025420130907,9/7/2013,693,254,38,TEAM
695006620130907,9/7/2013,695,66,42,TEAM
703007720130907,9/7/2013,703,77,134,TEAM
709043420130907,9/7/2013,709,434,73,TEAM
725004720130907,9/7/2013,725,47,48,TEAM
726030620130907,9/7/2013,726,306,47,TEAM
731072120130907,9/7/2013,731,721,21,TEAM
754065720130907,9/7/2013,754,657,14,TEAM
758073220130907,9/7/2013,758,732,135,TEAM
768052220130907,9/7/2013,768,522,103,TEAM
769074220130907,9/7/2013,769,742,136,TEAM
772069420130907,9/7/2013,772,694,114,TEAM
1004015720130900,9/7/2013,1004,157,20,TEAM
1092038820130900,9/7/2013,1092,388,142,TEAM
698070020130912,9/12/2013,698,700,129,TEAM
716003020130912,9/12/2013,716,30,7,TEAM
718036620130912,9/12/2013,718,366,59,TEAM
721006620130913,9/13/2013,721,66,42,TEAM
5041820130914,9/14/2013,5,418,66,TEAM
8069720130914,9/14/2013,8,697,120,TEAM
47049720130914,9/14/2013,47,497,160,TEAM
61023120130914,9/14/2013,61,231,31,TEAM
67065720130914,9/14/2013,67,657,14,TEAM
71030620130914,9/14/2013,71,306,47,TEAM
90015620130914,9/14/2013,90,156,23,TEAM
110046320130914,9/14/2013,110,463,84,TEAM
128053920130914,9/14/2013,128,539,111,TEAM
129046520130914,9/14/2013,129,465,89,TEAM
180072620130914,9/14/2013,180,726,62,TEAM
204058720130914,9/14/2013,204,587,86,TEAM
207070920130914,9/14/2013,207,709,102,TEAM
229065120130914,9/14/2013,229,651,35,TEAM
236069020130914,9/14/2013,236,690,109,TEAM
254076820130914,9/14/2013,254,768,143,TEAM
255019320130914,9/14/2013,255,193,80,TEAM
312031120130914,9/14/2013,312,311,40,TEAM
328057420130914,9/14/2013,328,574,127,TEAM
331036520130914,9/14/2013,331,365,55,TEAM
346052120130914,9/14/2013,346,521,104,TEAM
367033420130914,9/14/2013,367,334,53,TEAM
388051920130914,9/14/2013,388,519,95,TEAM
392016420130914,9/14/2013,392,164,25,TEAM
400032720130914,9/14/2013,400,327,52,TEAM
404041920130914,9/14/2013,404,419,116,TEAM
430003720130914,9/14/2013,430,37,1,TEAM
433070320130914,9/14/2013,433,703,119,TEAM
466023420130914,9/14/2013,466,234,33,TEAM
473054520130914,9/14/2013,473,545,110,TEAM
483067120130914,9/14/2013,483,671,56,TEAM
498074920130914,9/14/2013,498,749,83,TEAM
502081120130914,9/14/2013,502,811,144,TEAM
503029520130914,9/14/2013,503,295,43,TEAM
508014020130914,9/14/2013,508,140,97,TEAM
513055920130914,9/14/2013,513,559,50,TEAM
518010720130914,9/14/2013,518,107,12,TEAM
528073220130914,9/14/2013,528,732,135,TEAM
664003120130914,9/14/2013,664,31,6,TEAM
667075420130914,9/14/2013,667,754,138,TEAM
674072520130914,9/14/2013,674,725,93,TEAM
683008620130914,9/14/2013,683,86,91,TEAM
694052920130914,9/14/2013,694,529,108,TEAM
704047220130914,9/14/2013,704,472,88,TEAM
706002920130914,9/14/2013,706,29,11,TEAM
719052220130914,9/14/2013,719,522,103,TEAM
736064820130914,9/14/2013,736,648,113,TEAM
742019620130914,9/14/2013,742,196,81,TEAM
748068820130914,9/14/2013,748,688,92,TEAM
756030120130914,9/14/2013,756,301,147,NEUTRAL
758073120130914,9/14/2013,758,731,133,TEAM
771042820130914,9/14/2013,771,428,153,TEAM
772064620130914,9/14/2013,772,646,3,TEAM
774050920130914,9/14/2013,774,509,46,TEAM
796002820130914,9/14/2013,796,28,10,TEAM
817041620130914,9/14/2013,817,416,68,TEAM
147049020130919,9/19/2013,147,490,82,TEAM
66009620130920,9/20/2013,66,96,13,TEAM
28067420130921,9/21/2013,28,674,19,TEAM
30040420130921,9/21/2013,30,404,115,TEAM
31058720130921,9/21/2013,31,587,86,TEAM
37036520130921,9/21/2013,37,365,55,TEAM
43051920130921,9/21/2013,43,519,95,TEAM
47020420130921,9/21/2013,47,204,71,TEAM
61023420130921,9/21/2013,61,234,33,TEAM
140041420130921,9/21/2013,140,414,101,TEAM
156000820130921,9/21/2013,156,8,5,TEAM
201050320130921,9/21/2013,201,503,45,TEAM
228051820130921,9/21/2013,228,518,99,TEAM
231036720130921,9/21/2013,231,367,54,TEAM
277046620130921,9/21/2013,277,466,90,TEAM
288057420130921,9/21/2013,288,574,128,NEUTRAL
294075620130921,9/21/2013,294,756,140,TEAM
295075420130921,9/21/2013,295,754,138,TEAM
315025420130921,9/21/2013,315,254,38,TEAM
327070320130921,9/21/2013,327,703,119,TEAM
331053920130921,9/21/2013,331,539,111,TEAM
366032820130921,9/21/2013,366,328,51,TEAM
380050920130921,9/21/2013,380,509,46,TEAM
388074220130921,9/21/2013,388,742,136,TEAM
416051320130921,9/21/2013,416,513,49,TEAM
418016420130921,9/21/2013,418,164,25,TEAM
419022920130921,9/21/2013,419,229,159,TEAM
434030620130921,9/21/2013,434,306,47,TEAM
446077220130921,9/21/2013,446,772,148,TEAM
454007120130921,9/21/2013,454,71,96,TEAM
457025520130921,9/21/2013,457,255,37,TEAM
472011020130921,9/21/2013,472,110,15,TEAM
497025720130921,9/21/2013,497,257,36,TEAM
498005120130921,9/21/2013,498,51,132,TEAM
508000920130921,9/21/2013,508,9,2,TEAM
528062620130921,9/21/2013,528,626,16,TEAM
545019320130921,9/21/2013,545,193,80,TEAM
559079620130921,9/21/2013,559,796,141,TEAM
630042820130921,9/21/2013,630,428,153,TEAM
632041520130921,9/21/2013,632,415,30,TEAM
649046320130921,9/21/2013,649,463,84,TEAM
663069720130921,9/21/2013,663,697,120,TEAM
670070020130921,9/21/2013,670,700,129,TEAM
671000520130921,9/21/2013,671,5,154,TEAM
694023520130921,9/21/2013,694,235,27,TEAM
706070420130921,9/21/2013,706,704,124,TEAM
709012920130921,9/21/2013,709,129,70,TEAM
716043020130921,9/21/2013,716,430,77,TEAM
718068820130921,9/21/2013,718,688,92,TEAM
731065720130921,9/21/2013,731,657,14,TEAM
732007720130921,9/21/2013,732,77,134,TEAM
736040020130921,9/21/2013,736,400,163,TEAM
741074620130921,9/21/2013,741,746,137,TEAM
749072520130921,9/21/2013,749,725,93,TEAM
768039220130921,9/21/2013,768,392,63,NEUTRAL
771046520130921,9/21/2013,771,465,89,TEAM
774031220130921,9/21/2013,774,312,41,TEAM
811072120130921,9/21/2013,811,721,21,TEAM
311071920130926,9/26/2013,311,719,105,TEAM
742025520130926,9/26/2013,742,255,37,TEAM
419007720130927,9/27/2013,419,77,134,TEAM
731063020130927,9/27/2013,731,630,18,TEAM
5007120130928,9/28/2013,5,71,96,TEAM
9073620130928,9/28/2013,9,736,117,TEAM
29075620130928,9/28/2013,29,756,140,TEAM
30043420130928,9/28/2013,30,434,73,TEAM
96027720130928,9/28/2013,96,277,39,TEAM
107052920130928,9/28/2013,107,529,108,TEAM
129049020130928,9/28/2013,129,490,82,TEAM
157052820130928,9/28/2013,157,528,107,TEAM
164008620130928,9/28/2013,164,86,91,TEAM
196045720130928,9/28/2013,196,457,78,TEAM
229057420130928,9/28/2013,229,574,127,TEAM
234006720130928,9/28/2013,234,67,61,TEAM
235033420130928,9/28/2013,235,334,53,TEAM
288070620130928,9/28/2013,288,706,130,TEAM
312042820130928,9/28/2013,312,428,153,TEAM
331077420130928,9/28/2013,331,774,69,TEAM
365025720130928,9/28/2013,365,257,36,TEAM
414030120130928,9/28/2013,414,301,44,TEAM
415065120130928,9/28/2013,415,651,35,TEAM
433000820130928,9/28/2013,433,8,5,TEAM
465047320130928,9/28/2013,465,473,87,TEAM
503055920130928,9/28/2013,503,559,50,TEAM
521076820130928,9/28/2013,521,768,143,TEAM
522051320130928,9/28/2013,522,513,49,TEAM
626047220130928,9/28/2013,626,472,88,TEAM
646069420130928,9/28/2013,646,694,114,TEAM
648012820130928,9/28/2013,648,128,146,TEAM
657002820130928,9/28/2013,657,28,10,TEAM
663069820130928,9/28/2013,663,698,125,TEAM
664006620130928,9/28/2013,664,66,42,TEAM
674075420130928,9/28/2013,674,754,140,NEUTRAL
690029520130928,9/28/2013,690,295,43,TEAM
697003120130928,9/28/2013,697,31,6,TEAM
704015620130928,9/28/2013,704,156,23,TEAM
709004720130928,9/28/2013,709,47,48,TEAM
716019320130928,9/28/2013,716,193,80,TEAM
718049820130928,9/28/2013,718,498,57,TEAM
721046620130928,9/28/2013,721,466,90,TEAM
725036620130928,9/28/2013,725,366,121,NEUTRAL
726077220130928,9/28/2013,726,772,148,TEAM
746054520130928,9/28/2013,746,545,110,TEAM
749014720130928,9/28/2013,749,147,112,TEAM
796051820130928,9/28/2013,796,518,99,TEAM
811067020130928,9/28/2013,811,670,131,TEAM
110073220131003,10/3/2013,110,732,135,TEAM
703031120131003,10/3/2013,703,311,40,TEAM
772049820131003,10/3/2013,772,498,57,TEAM
77073120131004,10/4/2013,77,731,133,TEAM
466062620131004,10/4/2013,466,626,16,TEAM
28051320131005,10/5/2013,28,513,155,NEUTRAL
31023520131005,10/5/2013,31,235,27,TEAM
47074620131005,10/5/2013,47,746,137,TEAM
96029520131005,10/5/2013,96,295,43,TEAM
128040420131005,10/5/2013,128,404,115,TEAM
129041420131005,10/5/2013,129,414,101,TEAM
140065120131005,10/5/2013,140,651,35,TEAM
147068820131005,10/5/2013,147,688,92,TEAM
196041920131005,10/5/2013,196,419,116,TEAM
204008620131005,10/5/2013,204,86,91,TEAM
229000920131005,10/5/2013,229,9,2,TEAM
231066420131005,10/5/2013,231,664,75,TEAM
254000820131005,10/5/2013,254,8,5,TEAM
